iter	Passed	Remaining
0	165	52758
1	275	43744
2	393	41546
3	508	40166
4	631	39804
5	735	38467
6	845	37794
7	953	37175
8	1128	38990
9	1246	38655
10	1367	38419
11	1477	37927
12	1595	37672
13	1716	37520
14	1820	37016
15	1937	36811
16	2047	36489
17	2187	36706
18	2298	36419
19	2406	36100
20	2506	35689
21	2612	35393
22	2718	35101
23	2837	34991
24	2954	34866
25	3077	34803
26	3186	34581
27	3301	34434
28	3423	34349
29	3529	34121
30	3634	33879
31	3766	33902
32	3873	33684
33	3982	33501
34	4096	33356
35	4220	33297
36	4324	33074
37	4465	33140
38	4574	32962
39	4689	32829
40	4804	32696
41	4924	32596
42	5038	32456
43	5148	32296
44	5253	32107
45	5378	32040
46	5483	31853
47	5611	31795
48	5735	31721
49	5856	31622
50	5974	31509
51	6086	31367
52	6199	31228
53	6313	31100
54	6426	30962
55	6548	30872
56	6660	30733
57	6783	30643
58	6881	30439
59	6983	30262
60	7082	30069
61	7188	29912
62	7319	29858
63	7434	29739
64	7551	29626
65	7669	29515
66	7765	29322
67	7889	29238
68	8001	29105
69	8122	29010
70	8240	28901
71	8369	28826
72	8498	28755
73	8627	28681
74	8742	28557
75	8845	28397
76	8948	28241
77	9072	28146
78	9188	28030
79	9286	27859
80	9417	27787
81	9540	27690
82	9654	27568
83	9749	27392
84	9874	27299
85	9980	27156
86	10104	27060
87	10223	26951
88	10322	26791
89	10433	26663
90	10535	26513
91	10657	26411
92	10766	26279
93	10870	26135
94	10986	26019
95	11104	25910
96	11229	25816
97	11356	25725
98	11469	25604
99	11587	25493
100	11720	25413
101	11838	25302
102	11937	25150
103	12052	25032
104	12175	24930
105	12294	24820
106	12401	24686
107	12511	24559
108	12668	24523
109	12784	24407
110	12915	24317
111	13021	24182
112	13128	24048
113	13259	23959
114	13382	23856
115	13484	23714
116	13579	23561
117	13704	23459
118	13808	23324
119	13898	23164
120	14003	23030
121	14089	22866
122	14177	22707
123	14298	22600
124	14411	22481
125	14511	22342
126	14613	22208
127	14736	22105
128	14843	21977
129	14960	21865
130	15052	21717
131	15167	21602
132	15275	21477
133	15379	21347
134	15478	21211
135	15593	21097
136	15711	20987
137	15826	20871
138	15928	20741
139	16029	20608
140	16139	20489
141	16250	20370
142	16371	20264
143	16466	20125
144	16585	20017
145	16737	19946
146	16838	19817
147	16941	19688
148	17045	19562
149	17142	19428
150	17262	19320
151	17358	19185
152	17479	19078
153	17573	18942
154	17675	18816
155	17761	18671
156	17861	18543
157	17976	18431
158	18088	18316
159	18179	18179
160	18275	18048
161	18368	17914
162	18462	17783
163	18562	17657
164	18683	17551
165	18773	17416
166	18858	17277
167	18957	17151
168	19080	17048
169	19214	16953
170	19302	16819
171	19399	16692
172	19513	16580
173	19633	16474
174	19733	16350
175	19830	16225
176	19917	16091
177	20016	15968
178	20113	15843
179	20224	15730
180	20339	15619
181	20431	15492
182	20534	15372
183	20621	15241
184	20730	15127
185	20829	15006
186	20935	14890
187	21034	14768
188	21154	14662
189	21265	14550
190	21373	14435
191	21468	14312
192	21570	14193
193	21690	14087
194	21788	13967
195	21877	13840
196	21998	13735
197	22089	13610
198	22193	13494
199	22283	13369
200	22377	13248
201	22481	13132
202	22612	13032
203	22731	12925
204	22849	12818
205	22950	12700
206	23038	12576
207	23132	12456
208	23259	12353
209	23374	12243
210	23486	12132
211	23606	12025
212	23718	11915
213	23865	11821
214	23960	11701
215	24056	11582
216	24148	11462
217	24275	11358
218	24365	11237
219	24489	11131
220	24589	11015
221	24674	10892
222	24775	10776
223	24897	10670
224	25003	10557
225	25104	10441
226	25219	10332
227	25318	10216
228	25423	10102
229	25523	9987
230	25620	9870
231	25743	9764
232	25858	9655
233	25977	9547
234	26088	9436
235	26197	9324
236	26305	9212
237	26434	9107
238	26523	8989
239	26638	8879
240	26736	8764
241	26849	8654
242	26946	8538
243	27037	8421
244	27154	8312
245	27250	8197
246	27345	8081
247	27439	7966
248	27542	7853
249	27643	7740
250	27734	7624
251	27836	7511
252	27931	7396
253	28048	7288
254	28148	7175
255	28263	7065
256	28376	6956
257	28473	6842
258	28591	6733
259	28691	6621
260	28782	6506
261	28891	6395
262	28981	6281
263	29102	6173
264	29210	6062
265	29328	5953
266	29439	5843
267	29555	5734
268	29664	5624
269	29766	5512
270	29878	5402
271	29992	5292
272	30097	5181
273	30221	5073
274	30340	4964
275	30444	4853
276	30559	4743
277	30670	4633
278	30750	4518
279	30850	4407
280	30967	4298
281	31092	4189
282	31187	4077
283	31289	3966
284	31385	3854
285	31524	3747
286	31657	3640
287	31760	3528
288	31862	3417
289	31962	3306
290	32061	3195
291	32181	3085
292	32284	2975
293	32378	2863
294	32490	2753
295	32604	2643
296	32706	2532
297	32812	2422
298	32920	2312
299	33031	2202
300	33121	2090
301	33244	1981
302	33357	1871
303	33478	1762
304	33601	1652
305	33683	1541
306	33797	1431
307	33880	1320
308	33980	1209
309	34086	1099
310	34185	989
311	34289	879
312	34398	769
313	34497	659
314	34600	549
315	34678	438
316	34806	329
317	34910	219
318	35021	109
319	35140	0
